Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 56.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 55.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 60.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 55.85ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 92.17ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 55.86ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 59.89ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 56.19ms
640 bytes from 7C:B0Disconnecting from the device...
:73:FE:D3:B2 id 39 time 60.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 55.94ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 56.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 55.74ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 80.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 56.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 100.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 46 time 79.84ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 56.14ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 59.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 59.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 52.22ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 80.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 76.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 79.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 76.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 64.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 80.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 63.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 60.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 51.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 56.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 56.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 59.87ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 52.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 59.75ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 52.07ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 56.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 83.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 55.87ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 76.17ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 80.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 55.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 64.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 95.75ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 84.08ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 76.11ms
